Logging Sat Apr 19 2025 21:13:17 GMT+0530 (India Standard Time) / GET 
Logging Sat Apr 19 2025 21:13:17 GMT+0530 (India Standard Time) /css/styles.css GET 
Logging Sat Apr 19 2025 21:13:17 GMT+0530 (India Standard Time) /favicon.ico GET 
Logging Sat Apr 19 2025 21:13:27 GMT+0530 (India Standard Time) /newpage.html GET 
Logging Sat Apr 19 2025 21:13:27 GMT+0530 (India Standard Time) /image/download.jpg GET 
Logging Sat Apr 19 2025 21:13:27 GMT+0530 (India Standard Time) /css/styles.css GET 
Logging Sat Apr 19 2025 21:13:27 GMT+0530 (India Standard Time) /favicon.ico GET 
Logging Sat Apr 19 2025 21:13:32 GMT+0530 (India Standard Time) /newpage GET 
Logging Sat Apr 19 2025 21:13:32 GMT+0530 (India Standard Time) /css/styles.css GET 
Logging Sat Apr 19 2025 21:13:32 GMT+0530 (India Standard Time) /image/download.jpg GET 
Logging Sat Apr 19 2025 21:13:32 GMT+0530 (India Standard Time) /favicon.ico GET 
Logging 20250419	21:17:50 	 50f3d259-37bc-405f-b94b-28462d30d295 / GET 
Logging 20250419	21:17:50 	 b195cc4e-90ab-4a65-8376-2127c5399fbf /css/styles.css GET 
Logging 20250419	21:17:50 	 db89cac5-9dcc-44fa-8551-96db585a0647 /favicon.ico GET 
20250419	21:18:40 	 c9aaa8aa-e637-4388-9d97-ac5cb25cdd28 	/ GET 
20250419	21:18:40 	 e65e5032-39d9-46fc-919b-68dbbb05c3a4 	/css/styles.css GET 
20250419	21:18:40 	 649ab37d-d7aa-4f83-a449-0eb3d472f78c 	/favicon.ico GET 
2025-04-19	21:19:00 	 ccc168a6-1653-45e6-870e-155c57bb0c2e 	/ GET 
2025-04-19	21:19:00 	 bac93619-0a02-415b-9d70-a51d5f1e936e 	/css/styles.css GET 
2025-04-19	21:19:00 	 34263a01-0dc1-4d27-9b55-dd88abed1d49 	/favicon.ico GET 
2025-04-19	21:20:08 	 a9afffc3-086b-4550-9071-3957492a390a 	/ GET 
2025-04-19	21:20:08 	 2a97965e-f0e4-4621-8157-181eb4b8eff6 	undefined undefined 
2025-04-19	21:21:09 	 9cf60f0e-091c-4adb-b3a3-09d80cae2128 	/ GET 
2025-04-19	21:21:09 	 e5d21d78-5dc8-4f32-8ec9-bb677481cdb8 	undefined undefined 
2025-04-19	21:22:15 	 9f83c1b2-1160-4113-8644-a34a2d5502c4 	/ GET 
2025-04-19	21:22:16 	 43db1e77-c643-412d-ab73-ae94e11cebdc 	/ GET 
2025-04-19	21:23:10 	 649f2b65-dc56-4392-9bd7-07266e87227f 	/ GET 
2025-04-19	21:23:12 	 51bfcc65-9423-4912-bb72-2567f7fde606 	/ GET 
2025-04-19	21:24:47 	 83a587f9-28fd-4e6d-abbb-54f8bc8d89d7 	/ GET 
2025-04-19	21:24:48 	 4acfb822-a50c-47a1-ba8e-92e504a995cf 	/ GET 
2025-04-19	21:24:49 	 6bd24a5f-1829-49f1-92ea-97324e61d77a 	/ GET 
2025-04-19	21:25:06 	 df5fc587-bab8-4a0b-ad6d-a570f417b757 	/ GET 
2025-04-19	21:25:06 	 df2a1b64-ca88-46af-851f-fb3b9367ee1d 	/css/styles.css GET 
2025-04-19	21:25:06 	 fd90a3dd-9c4d-4107-8430-53682d77728a 	/favicon.ico GET 
2025-04-19	21:33:26 	 81ff765f-23af-45fc-8779-d609ee960f82 	/ GET 
2025-04-19	21:33:26 	 5fcfa873-6bdc-460f-9ca9-c32dd4b53046 	/css/styles.css GET 
2025-04-19	21:33:26 	 57223770-6fcd-4130-8df0-07ff09c95be5 	/favicon.ico GET 
2025-04-25	23:35:06 	 63a56d4f-35f9-4085-9dd4-490e92d4f732 	GET	 undefined /new-page.html 
2025-04-25	23:35:06 	 cecd007e-5141-4a72-b891-715c1de714ae 	GET	 undefined /css/styles.css 
2025-04-25	23:35:06 	 68f651e8-33ec-499c-aa00-7d0a892790fa 	GET	 undefined /image/download.jpg 
2025-04-25	23:36:38 	 3a2780ea-236b-4c0a-8e0d-ef43c03822cb 	GET	 undefined /new-pag 
2025-04-25	23:36:38 	 6e64dac7-d1b8-43ad-82b5-49a2aa671603 	GET	 undefined /css/styles.css 
2025-04-25	23:39:49 	 b7670e9d-4778-4b2c-9407-4f2b9e445066 	GET	 undefined /new-pag 
2025-04-25	23:39:49 	 57131f2b-c6ab-44fc-93b0-bea10184e5d3 	GET	 undefined /css/styles.css 
2025-05-01	23:44:00 	 ac86e4be-703d-40e4-abd8-134d56bff95e 	GET	 undefined / 
2025-05-01	23:44:00 	 01d0f914-7a48-4a9d-981d-383fce80fa56 	GET	 undefined /css/styles.css 
2025-05-01	23:44:00 	 c1f77ea9-8ea3-44be-9fb3-4230a689aa27 	GET	 undefined /favicon.ico 
2025-05-01	23:44:35 	 4e0f1a9b-f1c0-4d72-b99a-0bc3cd80b2d1 	GET	 undefined / 
2025-05-01	23:44:35 	 5baae8e3-2227-40f4-a4e9-5800964860cd 	GET	 undefined /css/styles.css 
2025-05-01	23:57:56 	 7a710427-9388-46cd-888a-ec6396fc7202 	GET	 undefined / 
2025-05-01	23:57:56 	 89468794-af1e-4aea-a646-dcc8475fcbc9 	GET	 undefined /css/styles.css 
2025-05-01	23:58:10 	 46734373-feac-4b70-bfb3-f39ab1b254be 	GET	 undefined /subdir/index 
2025-05-01	23:59:11 	 6eb03afe-6b37-4ee9-a315-10608e45f838 	GET	 undefined /subdir/index 
2025-05-01	23:59:11 	 a98bb466-5ae0-4406-a747-ed58a214846f 	GET	 undefined /subdir/css/styles.css 
2025-05-02	00:03:57 	 5ed3ead0-55e8-4430-80f4-a01748d2baa4 	GET	 undefined / 
2025-05-02	00:03:58 	 36eaa962-0a3c-40e4-ab23-7b48db1eae16 	GET	 undefined /css/styles.css 
2025-05-02	00:12:52 	 1e019924-3949-42de-9462-8caf749372a4 	GET	 undefined /new-page.html 
2025-05-02	00:12:52 	 bd6a3324-691e-4009-8641-7a5a7cb16852 	GET	 undefined /css/styles.css 
2025-05-02	00:12:52 	 22aae15e-1e18-4a92-bf0a-4ab3c3ec5b46 	GET	 undefined /image/download.jpg 
2025-05-02	00:27:45 	 bc12ae97-8199-4efd-9987-59b6f7c35f7f 	GET	 undefined /employee 
2025-05-02	00:27:49 	 ad6c5d94-ec71-42fe-8ef6-30df0b876381 	GET	 undefined /employee/1 
2025-05-02	00:29:09 	 e4b9bd93-1adc-4c4c-bfc9-5dedcc94eb74 	POST	 undefined /employee/1 
2025-05-02	00:29:20 	 2618948a-56c9-49da-bf8f-619fa75c3544 	GET	 undefined /employees 
2025-05-02	00:29:24 	 d4d880b4-1c4b-484c-ba88-f3bd1973c4c8 	GET	 undefined /employee 
2025-05-02	00:29:31 	 bc5e0c08-faef-4080-a1c1-bdbe58631d10 	GET	 undefined /employees 
2025-05-02	00:29:34 	 1dbd020b-d648-45c3-aa0b-39248aa39bc2 	GET	 undefined /employees 
2025-05-02	00:30:02 	 0f6c0f0e-2d79-40e3-8d9e-e0af4fc064d4 	GET	 undefined /employees 
2025-05-02	00:30:08 	 6a54dd94-9e3c-45b4-b2a0-e34941a68658 	GET	 undefined /employee 
